case,genus,seed,mode,passed,certified,registration_success,initial_dense_rmse_median_edges,final_dense_rmse_median_edges,dense_improvement_fraction,initial_landmark_rmse_median_edges,final_landmark_rmse_median_edges,initial_curvature_rmse,final_curvature_rmse,flow_replay_max_error
synthetic_genus2,2,11,combined,True,True,True,0.25716391161369445,0.21668340344073148,0.15741130984884016,0.2588718992493244,0.16966052632683593,0.21678872687186362,0.19196944263709287,8.968100940422724e-16
synthetic_genus2,2,11,curvature,True,True,True,0.25716391161369445,0.23413817465861989,0.08953720143152637,0.2588718992493244,0.24663835262331735,0.21678872687186362,0.19228222198604783,8.968100940422724e-16
synthetic_genus2,2,11,landmark,True,True,True,0.25716391161369445,0.2123213907141713,0.174373303851765,0.2588718992493244,0.0222657194758994,0.21678872687186362,0.20996150788232582,4.611102534756203e-16
synthetic_genus2,2,29,combined,True,True,True,0.2709489090741807,0.23576125856042507,0.12986821254970213,0.25454181852123425,0.17250946039621637,0.22176363468013663,0.19513799370026652,6.280465664842523e-16
synthetic_genus2,2,29,curvature,True,True,True,0.2709489090741807,0.24710008751134802,0.08801962570848852,0.25454181852123425,0.23060249088179066,0.22176363468013663,0.19532850469167484,8.950920992448924e-16
synthetic_genus2,2,29,landmark,True,True,True,0.2709489090741807,0.23116534355350732,0.1468305063733671,0.25454181852123425,0.019007573245929367,0.22176363468013663,0.2163420252561657,9.171947447016606e-16
synthetic_genus2,2,3,combined,True,True,True,0.28428793742670244,0.25394440914646477,0.10673519444721816,0.2972827088528967,0.2496190239900753,0.2272223085755344,0.19989476397533432,6.294154347968077e-16
synthetic_genus2,2,3,curvature,True,True,True,0.28428793742670244,0.2640436908548006,0.07121036071789491,0.2972827088528967,0.29266776278392925,0.2272223085755344,0.19993254791935186,3.188872858294072e-16
synthetic_genus2,2,3,landmark,True,True,True,0.28428793742670244,0.2331125590337921,0.18001248612985846,0.2972827088528967,0.024647468265771844,0.2272223085755344,0.2243512174654945,6.281902941027859e-16
official_genus3,3,3,combined,True,True,True,0.2640247025535531,0.22644158589467095,0.14234697092882456,0.2660779298256357,0.09665675018109593,1.0395456617859284,1.0160224098018524,6.359601310784502e-17
official_genus3,3,3,curvature,True,True,False,0.2640247025535531,0.30067869878499054,-0.13882790465033376,0.2660779298256357,0.28743413074922924,1.0395456617859284,1.0009670879100938,1.2432050435751766e-16
official_genus3,3,3,landmark,True,True,True,0.2640247025535531,0.19351036004653074,0.2670747919608761,0.2660779298256357,0.04278067728438181,1.0395456617859284,1.0361720981976075,6.359601310784502e-17
official_genus3,3,11,combined,True,True,True,0.2675951687858514,0.2183192764038697,0.18414343056176685,0.24116200015386952,0.07229447403141936,1.049535457152733,1.0257665717336941,6.245004513516506e-17
official_genus3,3,11,curvature,True,True,False,0.2675951687858514,0.2777513092635469,-0.037953377573207055,0.24116200015386952,0.25853087939263825,1.049535457152733,1.0135611018112043,7.97218214573518e-17
official_genus3,3,11,landmark,True,True,True,0.2675951687858514,0.21064775778687012,0.21281180544987577,0.24116200015386952,0.03349379383218995,1.049535457152733,1.0482469395723915,4.163336342344337e-17
official_genus3,3,29,combined,True,True,True,0.2339571882380152,0.20601738917367154,0.11942269983138643,0.2244175968667385,0.0706686958547522,1.03735910173707,1.016536004991634,4.185862945154403e-17
official_genus3,3,29,curvature,True,True,False,0.2339571882380152,0.2725793914451412,-0.16508235330574209,0.2244175968667385,0.2627645807807643,1.03735910173707,1.002141201430791,2.4037033579794548e-17
official_genus3,3,29,landmark,True,True,True,0.2339571882380152,0.18229441792706014,0.2208214703725888,0.2244175968667385,0.03234352729354987,1.03735910173707,1.0385567653920191,6.798699777552591e-17
official_genus5,5,3,combined,True,True,True,0.2305699276318312,0.2219098286343964,0.03755953383158914,0.21025826171956832,0.16680752797572093,0.694368020813656,0.6309560800455287,8.326672684688674e-17
official_genus5,5,3,curvature,True,True,False,0.2305699276318312,0.23185913624706103,-0.005591399661140523,0.21025826171956832,0.229200954205492,0.694368020813656,0.6292099592512072,6.359601310784502e-17
official_genus5,5,3,landmark,True,True,True,0.2305699276318312,0.2067520055947636,0.10330021040341193,0.21025826171956832,0.03171193103788125,0.694368020813656,0.6984674826553443,1.1113066979184075e-16
