case,genus,mode,seed,initial_dense_edges,final_dense_edges,dense_improvement_fraction,initial_landmark_edges,final_landmark_edges,initial_curvature_rmse,final_curvature_rmse,certified,accepted,runtime_seconds
synthetic_genus2,2,landmark,3,0.3144660519972014,0.20933288570218375,0.33432278501067997,0.3071906573471447,0.06617049576557801,0.4508060704020627,0.4427211328133687,True,True,24.474819799885154
synthetic_genus2,2,curvature,3,0.3144660519972014,0.31257263828591947,0.006021043286729161,0.3071906573471447,0.28690600787371634,0.4508060704020627,0.37423969530441564,True,True,24.6652925000526
synthetic_genus2,2,combined,3,0.3144660519972014,0.27599492241072976,0.12233794186093591,0.3071906573471447,0.21647916162189876,0.4508060704020627,0.3800114415079029,True,True,24.79482530010864
official_genus3,3,landmark,3,0.2640247025535531,0.19351036004653074,0.2670747919608761,0.2660779298256357,0.04278067728438182,1.0395456617859284,1.0361720981976075,True,True,24.10170859983191
official_genus3,3,curvature,3,0.2640247025535531,0.30067869878499054,-0.13882790465033376,0.2660779298256357,0.28743413074922924,1.0395456617859284,1.0009670879100938,True,True,23.822826799936593
official_genus3,3,combined,3,0.2640247025535531,0.22644158589467095,0.14234697092882456,0.2660779298256357,0.0966567501810959,1.0395456617859284,1.0160224098018524,True,True,25.22427779994905
official_genus5,5,landmark,3,0.2305699276318312,0.20675200559476356,0.10330021040341208,0.21025826171956832,0.031711931037881155,0.694368020813656,0.6984674826553443,True,True,129.42751690000296
official_genus5,5,curvature,3,0.2305699276318312,0.23185913624706103,-0.005591399661140523,0.21025826171956832,0.22920095420549194,0.694368020813656,0.6292099592512072,True,True,129.7378277000971
official_genus5,5,combined,3,0.2305699276318312,0.2219098286343964,0.03755953383158914,0.21025826171956832,0.166807527975721,0.694368020813656,0.6309560800455287,True,True,129.31906569981948
official_pretzel_genus3,3,landmark,3,0.2341591965354885,0.21694011373973676,0.07353579552081385,0.21272798677819119,0.01450053136549515,2.5240403924541486,2.525989013312927,True,True,78.03749469993636
official_pretzel_genus3,3,curvature,3,0.2341591965354885,0.26673845573493954,-0.13913294750528166,0.21272798677819119,0.2684671876854576,2.5240403924541486,2.4362391518219937,True,True,78.73662370024249
official_pretzel_genus3,3,combined,3,0.2341591965354885,0.23334466389965644,0.0034785421537291855,0.21272798677819119,0.05749640084293202,2.5240403924541486,2.476879609043439,True,True,78.56447290023789
