question_id,method,resolution,runtime_forward,runtime_backward,rss_delta_process_MB,mu_error,beltrami_residual,conjugacy_residual,modulus_error,min_det,flip_count,boundary_order_min_gap,gradient_error,notes,hardware,seed,min_det_definition
CQ1-CQ2,MBM_P1_smooth_mu,65x65,0.9602,NA,NA,NA,NA,0.0241576615893,1.98e-5,0.5347667852,0,NA,NA,"face-averaged P1; primary E=0.8365468739610; complementary E=1.1954112593987; raw right flux=0.8404574190035",local-Windows-CPU,0,"normalized face Jacobian determinant"
CQ1-CQ2,MBM_P1_smooth_mu,129x129,4.5419,NA,NA,NA,NA,0.0236592776014,0,0.5244463349,0,NA,NA,"primary E=0.8365161234203; complementary E=1.1954394999960; raw right flux=0.8385324350105; flux-energy gap=2.0163e-3",local-Windows-CPU,0,"normalized face Jacobian determinant"
CQ3-CQ4,compatible_layered_P1,5x3_vertices,0.0077,NA,NA,0,0,0,0,0.4,0,0.4,NA,"u=x, v=g(y), slopes 0.4 and 1.6; exact conjugacy and mixed residuals; edge-stream inconsistency/cycle residual <1e-12",local-Windows-CPU,0,"normalized face Jacobian determinant"
CQ10,Tutte_directed_fit_sine_alpha_0.05,17x17_vertices,2.3354,NA,NA,1.9526e-2,NA,NA,NA,2.8304e-3,0,NA,NA,"120 Adam steps; map RMSE=1.2707e-3; identity boundary",local-Windows-CPU,0,"raw 2*triangle area in unit-square coordinates"
CQ10,Tutte_directed_fit_sine_alpha_0.15,17x17_vertices,2.2724,NA,NA,6.3278e-2,NA,NA,NA,5.5467e-4,0,NA,NA,"120 Adam steps; map RMSE=2.4450e-3; identity boundary",local-Windows-CPU,0,"raw 2*triangle area in unit-square coordinates"
CQ10,Tutte_directed_fit_sine_alpha_0.30,17x17_vertices,2.0566,NA,NA,8.9111e-2,NA,NA,NA,3.7499e-6,0,NA,NA,"120 Adam steps; map RMSE=4.1212e-3; identity boundary",local-Windows-CPU,0,"raw 2*triangle area in unit-square coordinates"
CQ12,Tutte_directed_forward_backward,129x129_vertices,0.8651,0.4131,14.32MB,NA,NA,NA,NA,6.1035e-5,0,NA,finite,"zero logits; sparse implicit solve; RSS delta",local-Windows-CPU,0,"raw 2*triangle area in unit-square coordinates"
CQ12,Tutte_directed_forward_backward,257x257_vertices,4.0842,1.8012,121.40MB,NA,NA,NA,NA,1.5259e-5,0,NA,finite,"zero logits; sparse implicit solve; RSS delta",local-Windows-CPU,0,"raw 2*triangle area in unit-square coordinates"
CQ11,Tutte_modulus_boundary_plus_implicit,129x129_vertices,0.9229,0.4133,25.89MB,NA,NA,NA,NA,6.1035e-5,0,NA,finite,"128 logits per side; modulus gradient=2627.4139; exact implicit closure",local-Windows-CPU,0,"raw 2*triangle area in unit-square coordinates"
CQ12,MBM_P1_implicit_VJP,65x65_vertices,0.7575,0.7517,18.52MB,2.1288e-3,NA,0.0241576615893,NA,0.5347667852,0,NA,NA,"smooth mu; induced face-mu RMSE all 8192 faces; max error=1.0614e-2; independent solve residual; isolated-process RSS delta",local-Windows-CPU,0,"normalized face Jacobian determinant"
CQ12,MBM_P1_implicit_VJP,129x129_vertices,3.2267,3.0190,59.85MB,1.0675e-3,NA,0.0236592776014,NA,0.5244463349,0,NA,NA,"smooth mu; induced face-mu RMSE all 32768 faces; max error=1.0308e-2; finite VJP; isolated-process RSS delta",local-Windows-CPU,0,"normalized face Jacobian determinant"
CQ12,MBM_P1_implicit_VJP,257x257_vertices,14.1279,12.1254,247.25MB,5.3513e-4,NA,0.0235197043999,NA,0.5147213295,0,NA,NA,"smooth mu; induced face-mu RMSE all 131072 faces; max error=1.0160e-2; finite VJP; isolated-process RSS delta",local-Windows-CPU,0,"normalized face Jacobian determinant"
CQ12,MBM_P1_implicit_VJP,513x513_vertices,75.1409,48.4553,1289.18MB,2.6822e-4,NA,0.0235535168306,NA,0.5053765488,0,NA,finite,"smooth mu; finite VJP; induced face-mu RMSE over all 524288 faces; max induced-mu error=1.0087e-2; isolated-process RSS delta; OMP=1",local-Windows-CPU,0,"normalized face Jacobian determinant"
CQ12,MBM_P1_implicit_gradient_check,7x7_vertices,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.37199e-10,"directional finite-difference relative gradient error; seed=3; eps=1e-6",local-Windows-CPU,3,"not a map determinant; VJP directional error"
CQ12,Tutte_directed_513_stress,513x513_vertices,NA,NA,NA,NA,NA,NA,NA,1.3282e-3,0,NA,finite,"512x512 cells; spread=1; combined forward+backward=117.9902 s; zero flips/intersections; spread=3 combined=118.2195 s and min ratio=2.5495e-12 in separate row; RSS delta not recorded",local-Windows-CPU,20260919,"minimum signed-area ratio"
CQ12,Tutte_directed_513_stress,513x513_vertices,NA,NA,NA,NA,NA,NA,NA,2.5495e-12,0,NA,finite,"512x512 cells; spread=3; combined forward+backward=118.2195 s; zero flips/intersections; near-singular conditioning margin; RSS delta not recorded",local-Windows-CPU,20260919,"minimum signed-area ratio"
CQ12,Tutte_directed_unstructured,4056_vertices_7854_faces,NA,NA,NA,NA,NA,NA,NA,3.4651e-3,0,NA,finite,"Delaunay; 256 boundary vertices; logit-spread=1; total forward+backward=1.7724 s; zero flips/intersections",local-Windows-CPU,20260919,"minimum signed-area ratio"
CQ12,Tutte_directed_unstructured,4056_vertices_7854_faces,NA,NA,NA,NA,NA,NA,NA,5.5470e-11,0,NA,finite,"Delaunay; 256 boundary vertices; logit-spread=3; total forward+backward=1.6110 s; zero flips/intersections; conditioning warning",local-Windows-CPU,20260919,"minimum signed-area ratio"
SUPPORT-Beurling,periodic_vs_zero_padded,128x128_uniform,0.0021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"periodic-vs-pad2 central=5.19e-2, outer=2.75e-1; periodic-vs-pad8 central=5.53e-2, outer=2.95e-1; pad2-vs-pad8 central=3.44e-3",local-Windows-CPU,0,"not a map determinant; operator relative difference"
CQ7,Mmatrix_wide_unstructured_one_ring,12384_vertices_24382_faces,21.83114,NA,NA,NA,NA,NA,NA,2.4053e-12,0,NA,NA,"checked-in artifact timing; 36765 decoder edges; residual mean=0.12901133 p95=0.79508870 over vertices with >=3 supports including boundary, absolute coefficient norm before clipping/symmetrization; fit=21.76037 s solve=0.07077 s; weight floor=1e-4; seed=20260919; Python3.12.4 NumPy1.26.4 SciPy1.13.1 OMP=1",local-Windows-CPU,20260919,"raw signed 2*triangle area in original mesh"
CQ7,Mmatrix_wide_unstructured_two_ring,12384_vertices_24382_faces,34.98491,NA,NA,NA,NA,NA,NA,-4.9312e-4,1641,NA,NA,"checked-in artifact timing; 120275 decoder edges; residual mean=0.002908684 p95=7.44e-12 over vertices with >=3 supports including boundary, absolute coefficient norm before clipping/symmetrization; fit=34.61139 s solve=0.37352 s; weight floor=1e-4; seed=20260919; Python3.12.4 NumPy1.26.4 SciPy1.13.1 OMP=1",local-Windows-CPU,20260919,"raw signed 2*triangle area in original mesh"
