control,batch,layers,image_resolution,backend,dtype,device,warmup,repeats,seed,strength,threads,status,stage,host,commit,error,gpu_peak_allocated_bytes,gpu_peak_reserved_bytes,process_lifetime_hwm_bytes,throughput_samples_per_second,gradients_finite,mean_forward_seconds,mean_backward_seconds,mean_end_to_end_seconds,true_primal_relative_residual_max,flip_count_sum,minimum_signed_area,all_layer_sample_topology_certified,forward_methods,fallback_forward_layers,max_forward_iterations,max_forward_reported_relative_residual,adjoint_methods,fallback_adjoint_layers,max_adjoint_iterations,max_adjoint_reported_relative_residual,primary_failures,measured_primal_systems,measured_adjoint_systems
17,1,1,256,directed_iterative,float32,cuda,0,1,1701,3.0,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,14021632,25165824,1131147264,0.5138837549310674,True,0.5800343044102192,1.358729712665081,1.9459653869271278,9.933400333406072e-06,0,2.4897843786675354e-09,True,bicgstab,0,81,9.946557838702574e-06,stationary_fallback,1,926,9.67499909165781e-06,BiCGStab breakdown: nonfinite dot-product scale,1,1
17,1,1,256,directed_iterative,float32,cuda,0,1,1702,3.0,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,14021632,25165824,1097043968,0.27727953120843973,True,0.8418614640831947,2.7575794607400894,3.606468878686428,9.96081607369103e-06,0,3.4639946466796826e-10,True,bicgstab,0,159,9.979858077713288e-06,stationary_fallback,1,3322,9.946084901457652e-06,BiCGStab breakdown in shadow residual,1,1
17,1,1,256,directed_iterative,float32,cuda,0,1,1703,3.0,1,failure,measurement,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,stationary fallback did not converge within 10000 iterations after: BiCGStab did not converge within 500 iterations,,,1107009536,,,,,,,,,,,,,,,,,,,,
17,1,4,256,directed_iterative,float32,cuda,0,1,1701,3.0,1,failure,measurement,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,directed Tutte output does not have strictly positive face areas,,,998383616,,,,,,,,,,,,,,,,,,,,
17,1,4,256,directed_iterative,float32,cuda,0,1,1702,3.0,1,failure,measurement,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,directed Tutte output does not have strictly positive face areas,,,1017769984,,,,,,,,,,,,,,,,,,,,
17,1,4,256,directed_iterative,float32,cuda,0,1,1703,3.0,1,failure,measurement,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,directed Tutte output does not have strictly positive face areas,,,1020059648,,,,,,,,,,,,,,,,,,,,
17,4,1,256,directed_iterative,float32,cuda,0,1,1701,3.0,1,failure,measurement,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,directed Tutte output does not have strictly positive face areas,,,986591232,,,,,,,,,,,,,,,,,,,,
17,4,1,256,directed_iterative,float32,cuda,0,1,1702,3.0,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,20371456,23068672,1092472832,0.8371443460476438,True,1.2730076164007187,3.4976908415555954,4.778148498386145,9.990363922485155e-06,0,2.0264678823878048e-11,True,stationary_fallback,1,1756,9.985923497879412e-06,stationary_fallback,1,3216,9.993434105126653e-06,BiCGStab breakdown in shadow residual|BiCGStab did not converge within 500 iterations,4,4
17,4,1,256,directed_iterative,float32,cuda,0,1,1703,3.0,1,failure,measurement,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,directed Tutte output does not have strictly positive face areas,,,986521600,,,,,,,,,,,,,,,,,,,,
17,4,4,256,directed_iterative,float32,cuda,0,1,1701,3.0,1,failure,measurement,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,directed Tutte output does not have strictly positive face areas,,,996507648,,,,,,,,,,,,,,,,,,,,
17,4,4,256,directed_iterative,float32,cuda,0,1,1702,3.0,1,failure,measurement,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,directed Tutte output does not have strictly positive face areas,,,996012032,,,,,,,,,,,,,,,,,,,,
17,4,4,256,directed_iterative,float32,cuda,0,1,1703,3.0,1,failure,measurement,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,directed Tutte output does not have strictly positive face areas,,,997470208,,,,,,,,,,,,,,,,,,,,
25,1,1,256,directed_iterative,float32,cuda,0,1,1701,3.0,1,failure,measurement,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,directed Tutte output does not have strictly positive face areas,,,1041207296,,,,,,,,,,,,,,,,,,,,
25,1,1,256,directed_iterative,float32,cuda,0,1,1702,3.0,1,failure,measurement,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,directed Tutte output does not have strictly positive face areas,,,991674368,,,,,,,,,,,,,,,,,,,,
25,1,1,256,directed_iterative,float32,cuda,0,1,1703,3.0,1,failure,measurement,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,directed Tutte output does not have strictly positive face areas,,,987709440,,,,,,,,,,,,,,,,,,,,
25,1,4,256,directed_iterative,float32,cuda,0,1,1701,3.0,1,failure,measurement,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,directed Tutte output does not have strictly positive face areas,,,998182912,,,,,,,,,,,,,,,,,,,,
25,1,4,256,directed_iterative,float32,cuda,0,1,1702,3.0,1,failure,measurement,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,directed Tutte output does not have strictly positive face areas,,,1035849728,,,,,,,,,,,,,,,,,,,,
25,1,4,256,directed_iterative,float32,cuda,0,1,1703,3.0,1,failure,measurement,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,directed Tutte output does not have strictly positive face areas,,,1004855296,,,,,,,,,,,,,,,,,,,,
25,4,1,256,directed_iterative,float32,cuda,0,1,1701,3.0,1,failure,measurement,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,directed Tutte output does not have strictly positive face areas,,,987680768,,,,,,,,,,,,,,,,,,,,
25,4,1,256,directed_iterative,float32,cuda,0,1,1702,3.0,1,failure,measurement,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,directed Tutte output does not have strictly positive face areas,,,987615232,,,,,,,,,,,,,,,,,,,,
25,4,1,256,directed_iterative,float32,cuda,0,1,1703,3.0,1,failure,measurement,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,directed Tutte output does not have strictly positive face areas,,,989184000,,,,,,,,,,,,,,,,,,,,
25,4,4,256,directed_iterative,float32,cuda,0,1,1701,3.0,1,failure,measurement,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,directed Tutte output does not have strictly positive face areas,,,998752256,,,,,,,,,,,,,,,,,,,,
25,4,4,256,directed_iterative,float32,cuda,0,1,1702,3.0,1,failure,measurement,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,directed Tutte output does not have strictly positive face areas,,,998428672,,,,,,,,,,,,,,,,,,,,
25,4,4,256,directed_iterative,float32,cuda,0,1,1703,3.0,1,failure,measurement,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,directed Tutte output does not have strictly positive face areas,,,998957056,,,,,,,,,,,,,,,,,,,,
49,1,1,256,directed_iterative,float32,cuda,0,1,1701,3.0,1,failure,measurement,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,directed Tutte output does not have strictly positive face areas,,,1021018112,,,,,,,,,,,,,,,,,,,,
49,1,1,256,directed_iterative,float32,cuda,0,1,1702,3.0,1,failure,measurement,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,stationary fallback did not converge within 10000 iterations after: BiCGStab breakdown in shadow residual,,,1012924416,,,,,,,,,,,,,,,,,,,,
49,1,1,256,directed_iterative,float32,cuda,0,1,1703,3.0,1,failure,measurement,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,stationary fallback did not converge within 10000 iterations after: BiCGStab breakdown in shadow residual,,,1032081408,,,,,,,,,,,,,,,,,,,,
49,1,4,256,directed_iterative,float32,cuda,0,1,1701,3.0,1,failure,measurement,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,directed Tutte output does not have strictly positive face areas,,,1028870144,,,,,,,,,,,,,,,,,,,,
49,1,4,256,directed_iterative,float32,cuda,0,1,1702,3.0,1,failure,measurement,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,stationary fallback did not converge within 10000 iterations after: BiCGStab breakdown in shadow residual,,,1038524416,,,,,,,,,,,,,,,,,,,,
49,1,4,256,directed_iterative,float32,cuda,0,1,1703,3.0,1,failure,measurement,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,stationary fallback did not converge within 10000 iterations after: BiCGStab breakdown in shadow residual,,,1004900352,,,,,,,,,,,,,,,,,,,,
49,4,1,256,directed_iterative,float32,cuda,0,1,1701,3.0,1,failure,measurement,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,realized rectangle boundary vertices must remain strictly ordered,,,891006976,,,,,,,,,,,,,,,,,,,,
49,4,1,256,directed_iterative,float32,cuda,0,1,1702,3.0,1,failure,measurement,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,realized rectangle boundary vertices must remain strictly ordered,,,889556992,,,,,,,,,,,,,,,,,,,,
49,4,1,256,directed_iterative,float32,cuda,0,1,1703,3.0,1,failure,measurement,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,realized rectangle boundary vertices must remain strictly ordered,,,889847808,,,,,,,,,,,,,,,,,,,,
49,4,4,256,directed_iterative,float32,cuda,0,1,1701,3.0,1,failure,measurement,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,realized rectangle boundary vertices must remain strictly ordered,,,904024064,,,,,,,,,,,,,,,,,,,,
49,4,4,256,directed_iterative,float32,cuda,0,1,1702,3.0,1,failure,measurement,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,realized rectangle boundary vertices must remain strictly ordered,,,907194368,,,,,,,,,,,,,,,,,,,,
49,4,4,256,directed_iterative,float32,cuda,0,1,1703,3.0,1,failure,measurement,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,realized rectangle boundary vertices must remain strictly ordered,,,904122368,,,,,,,,,,,,,,,,,,,,
17,1,1,256,symmetric,float32,cuda,0,1,1701,3.0,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,14009856,25165824,1139593216,1.924995280655495,True,0.3458661660552025,0.16594156250357628,0.5194817930459976,9.664635154144968e-06,0,2.4897843786675354e-09,True,unspecified,0,80,9.659422175900545e-06,unspecified,0,88,6.90782280798885e-06,,1,1
17,1,1,256,symmetric,float32,cuda,0,1,1702,3.0,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,14009856,25165824,1101328384,2.051270934547012,True,0.3310530036687851,0.14864343777298927,0.48750264197587967,1.001455451283521e-05,0,7.480818367544556e-09,True,unspecified,0,83,9.983021300286055e-06,unspecified,0,86,7.342733169934945e-06,,1,1
