control,batch,layers,image_resolution,backend,dtype,device,warmup,repeats,seed,strength,threads,status,stage,host,commit,error,gpu_peak_allocated_bytes,gpu_peak_reserved_bytes,process_lifetime_hwm_bytes,throughput_samples_per_second,gradients_finite,mean_forward_seconds,mean_backward_seconds,mean_end_to_end_seconds,true_primal_relative_residual_max,flip_count_sum,minimum_signed_area,all_layer_sample_topology_certified,forward_methods,fallback_forward_layers,max_forward_iterations,max_forward_reported_relative_residual,adjoint_methods,fallback_adjoint_layers,max_adjoint_iterations,max_adjoint_reported_relative_residual,primary_failures,measured_primal_systems,measured_adjoint_systems
49,1,1,256,directed_iterative,float64,cuda,1,1,1701,0.5,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,17571328,27262976,1118810112,0.7078438084502149,True,0.9160514883697033,0.4966116063296795,1.4127410426735878,9.587278691164291e-11,0,3.682419876025758e-05,True,bicgstab,0,118,9.587276799032967e-11,bicgstab,0,125,8.276573304255376e-11,,1,1
49,1,1,256,directed_iterative,float64,cuda,1,1,1702,0.5,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,17571328,27262976,1103032320,0.7190675427284874,True,0.89952302724123,0.49108976498246193,1.390689942985773,7.823902520616653e-11,0,2.999617762250117e-05,True,bicgstab,0,117,7.823900654856969e-11,bicgstab,0,127,9.923988545402896e-11,,1,1
49,1,4,256,directed_iterative,float64,cuda,1,1,1701,0.5,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,45450752,56623104,1194033152,0.17773305570091402,True,3.674741342663765,1.951584305614233,5.626415390521288,9.587278691164291e-11,0,1.8732183213215523e-05,True,bicgstab,0,119,9.587276799032967e-11,bicgstab,0,126,9.751012982261156e-11,,4,4
49,1,4,256,directed_iterative,float64,cuda,1,1,1702,0.5,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,45450752,56623104,1159688192,0.1762959971999277,True,3.69749416410923,1.9746984168887138,5.67227853089571,9.363084696994514e-11,0,2.1496778132007602e-05,True,bicgstab,0,124,9.363082798940285e-11,bicgstab,0,141,9.396090362998328e-11,,4,4
49,4,1,256,directed_iterative,float64,cuda,1,1,1701,0.5,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,32212480,39845888,1098661888,1.3817678353776535,True,2.310357518494129,0.5844048745930195,2.894842315465212,8.863942856286007e-11,0,2.5898817688495932e-05,True,bicgstab,0,129,8.863942444598766e-11,bicgstab,0,137,9.885596568073578e-11,,4,4
49,4,1,256,directed_iterative,float64,cuda,1,1,1702,0.5,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,32212480,39845888,1099112448,1.3474955653912695,True,2.432519108057022,0.5357784517109394,2.9684698805212975,9.658085956009101e-11,0,2.7636701742348578e-05,True,bicgstab,0,119,9.658087172037095e-11,bicgstab,0,132,9.8944025821253e-11,,4,4
49,4,4,256,directed_iterative,float64,cuda,1,1,1701,0.5,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,166534656,195035136,1154826240,0.34663130193616143,True,9.340576749294996,2.198967583477497,11.539638739079237,9.96068766515216e-11,0,1.8730496639442487e-05,True,bicgstab,0,129,9.960685967299378e-11,bicgstab,0,150,9.867237923507769e-11,,16,16
49,4,4,256,directed_iterative,float64,cuda,1,1,1702,0.5,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,166534656,195035136,1153916928,0.32898299625070354,True,9.297441471368074,2.8611601814627647,12.158683110028505,9.941669385131146e-11,0,1.896214613383577e-05,True,bicgstab,0,136,9.941671515709087e-11,bicgstab,0,130,9.957346260473132e-11,,16,16
49,1,1,256,directed_iterative,float64,cuda,1,1,1701,1.0,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,17571328,27262976,1099845632,0.5935677482993811,True,0.9794085435569286,0.705236304551363,1.6847276538610458,9.769635322886231e-11,0,3.539223287631444e-06,True,bicgstab,0,139,9.769635439690819e-11,bicgstab,0,185,6.657032185827431e-11,,1,1
49,1,1,256,directed_iterative,float64,cuda,1,1,1702,1.0,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,17571328,27262976,1136816128,0.523241835180133,True,1.1543555222451687,0.7567088976502419,1.9111621677875519,8.174238117628352e-11,0,1.6263326936655027e-06,True,bicgstab,0,173,8.174238466002309e-11,bicgstab,0,196,8.262370760084746e-11,,1,1
49,1,4,256,directed_iterative,float64,cuda,1,1,1701,1.0,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,45450752,56623104,1160400896,0.1306060563254925,True,4.8539711982011795,2.8025522232055664,7.656612779945135,9.769635322886231e-11,0,9.427914283550538e-07,True,bicgstab,0,284,9.769635439690819e-11,bicgstab,0,195,9.527584701921942e-11,,4,4
49,1,4,256,directed_iterative,float64,cuda,1,1,1702,1.0,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,45450752,56623104,1164173312,0.1287912811716658,True,5.072008617222309,2.692399315536022,7.764500755816698,9.967013572313761e-11,0,8.518097258591287e-07,True,bicgstab,0,255,9.967011139510028e-11,bicgstab,0,207,8.734147595397045e-11,,4,4
49,4,1,256,directed_iterative,float64,cuda,1,1,1701,1.0,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,32212480,39845888,1095741440,1.0314550161837652,True,2.6571204848587513,1.2207976169884205,3.8780169151723385,9.739733873702546e-11,0,1.699138091601882e-06,True,bicgstab,0,225,9.73973068156916e-11,bicgstab,0,301,9.406243180400068e-11,,4,4
49,4,1,256,directed_iterative,float64,cuda,1,1,1702,1.0,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,32212480,39845888,1098092544,1.083361175296945,True,2.655808124691248,1.036288432776928,3.692212801426649,9.972373094752954e-11,0,1.3216919513426472e-06,True,bicgstab,0,206,9.972370921989752e-11,bicgstab,0,251,9.88225330423081e-11,,4,4
49,4,4,256,directed_iterative,float64,cuda,1,1,1701,1.0,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,166534656,195035136,1158144000,0.27262943503316817,True,11.206682212650776,3.465151321142912,14.67193004861474,9.86738285315381e-11,0,9.425336556909803e-07,True,bicgstab,0,299,9.867383882176878e-11,bicgstab,0,245,9.897412257843754e-11,,16,16
49,4,4,256,directed_iterative,float64,cuda,1,1,1702,1.0,1,failure,warmup,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,BiCGStab did not converge within 500 iterations,,,1012543488,,,,,,,,,,,,,,,,,,,,
49,1,1,256,directed_iterative,float64,cuda,1,1,1701,3.0,1,failure,warmup,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,BiCGStab did not converge within 500 iterations,,,991838208,,,,,,,,,,,,,,,,,,,,
49,1,1,256,directed_iterative,float64,cuda,1,1,1702,3.0,1,failure,warmup,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,BiCGStab did not converge within 500 iterations,,,1012191232,,,,,,,,,,,,,,,,,,,,
49,1,4,256,directed_iterative,float64,cuda,1,1,1701,3.0,1,failure,warmup,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,BiCGStab did not converge within 500 iterations,,,1026781184,,,,,,,,,,,,,,,,,,,,
49,1,4,256,directed_iterative,float64,cuda,1,1,1702,3.0,1,failure,warmup,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,BiCGStab did not converge within 500 iterations,,,1027571712,,,,,,,,,,,,,,,,,,,,
49,4,1,256,directed_iterative,float64,cuda,1,1,1701,3.0,1,failure,warmup,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,BiCGStab breakdown in shadow residual,,,991289344,,,,,,,,,,,,,,,,,,,,
49,4,1,256,directed_iterative,float64,cuda,1,1,1702,3.0,1,failure,warmup,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,BiCGStab breakdown in shadow residual,,,992980992,,,,,,,,,,,,,,,,,,,,
49,4,4,256,directed_iterative,float64,cuda,1,1,1701,3.0,1,failure,warmup,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,BiCGStab breakdown in shadow residual,,,1012891648,,,,,,,,,,,,,,,,,,,,
49,4,4,256,directed_iterative,float64,cuda,1,1,1702,3.0,1,failure,warmup,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,BiCGStab breakdown in shadow residual,,,1010774016,,,,,,,,,,,,,,,,,,,,
