control,batch,layers,image_resolution,backend,dtype,device,warmup,repeats,seed,strength,threads,status,stage,host,commit,error,gpu_peak_allocated_bytes,gpu_peak_reserved_bytes,process_lifetime_hwm_bytes,throughput_samples_per_second,gradients_finite,mean_forward_seconds,mean_backward_seconds,mean_end_to_end_seconds,true_primal_relative_residual_max,flip_count_sum,minimum_signed_area,all_layer_sample_topology_certified,forward_methods,fallback_forward_layers,max_forward_iterations,max_forward_reported_relative_residual,adjoint_methods,fallback_adjoint_layers,max_adjoint_iterations,max_adjoint_reported_relative_residual,primary_failures,measured_primal_systems,measured_adjoint_systems
11,1,1,256,reference,float32,cpu,1,2,1701,0.15,1,ok,complete,element,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,,,488632320,44.292380530525904,True,0.01807384565472603,0.0043986644595861435,0.02257724665105343,1.0671566858567246e-07,0,0.0036384673602860556,True,,,,,,,,,,2,2
11,1,1,512,reference,float32,cpu,1,2,1701,0.15,1,ok,complete,element,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,,,516608000,23.905401969584126,True,0.02763085998594761,0.013905603438615799,0.041831549257040024,1.0671566858567246e-07,0,0.0036384673602860556,True,,,,,,,,,,2,2
11,1,2,256,reference,float32,cpu,1,2,1701,0.15,1,ok,complete,element,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,,,513454080,18.66916687328238,True,0.04053105227649212,0.01296047493815422,0.05356425419449806,1.0671566858567246e-07,0,0.0028710540194727403,True,,,,,,,,,,4,4
11,1,2,512,reference,float32,cpu,1,2,1701,0.15,1,ok,complete,element,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,,,591241216,7.955987033454034,True,0.08120595291256905,0.044127730652689934,0.125691507011652,1.0671566858567246e-07,0,0.0028710540194727403,True,,,,,,,,,,4,4
11,1,4,256,reference,float32,cpu,1,2,1701,0.15,1,ok,complete,element,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,,,535134208,8.553484840130148,True,0.08844465017318726,0.02837284468114376,0.11691141314804554,1.085971158603753e-07,0,0.0028710540194727403,True,,,,,,,,,,8,8
11,1,4,512,reference,float32,cpu,1,2,1701,0.15,1,ok,complete,element,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,,,688676864,3.494563975986508,True,0.18239754997193813,0.1033674068748951,0.2861587330698967,1.085971158603753e-07,0,0.0028710540194727403,True,,,,,,,,,,8,8
11,4,1,256,reference,float32,cpu,1,2,1701,0.15,1,ok,complete,element,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,,,498651136,47.277692279783565,True,0.06939354538917542,0.014903189614415169,0.08460649847984314,1.0862674036817963e-07,0,0.0032524582396380435,True,,,,,,,,,,8,8
11,4,1,512,reference,float32,cpu,1,2,1701,0.15,1,ok,complete,element,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,,,570765312,22.670050031571517,True,0.11534317396581173,0.058794571086764336,0.17644425109028816,1.0862674036817963e-07,0,0.0032524582396380435,True,,,,,,,,,,8,8
11,4,2,256,reference,float32,cpu,1,2,1701,0.15,1,ok,complete,element,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,,,588193792,18.572495357986732,True,0.16323908232152462,0.05173417739570141,0.21537224389612675,1.0862674036817963e-07,0,0.002850719037657878,True,,,,,,,,,,16,16
11,4,2,512,reference,float32,cpu,1,2,1701,0.15,1,ok,complete,element,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,,,846016512,8.582290688974958,True,0.29344644770026207,0.17105979099869728,0.46607603318989277,1.0862674036817963e-07,0,0.002850719037657878,True,,,,,,,,,,16,16
11,4,4,256,reference,float32,cpu,1,2,1701,0.15,1,ok,complete,element,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,,,641097728,8.67331554569177,True,0.34336309507489204,0.11742756329476833,0.46118465065956116,1.0862674036817963e-07,0,0.0027520429675487175,True,,,,,,,,,,32,32
11,4,4,512,reference,float32,cpu,1,2,1701,0.15,1,ok,complete,element,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,,,1119506432,3.669422539885017,True,0.6674788240343332,0.4210022073239088,1.0900897774845362,1.0862674036817963e-07,0,0.0027520429675487175,True,,,,,,,,,,32,32
11,8,1,256,reference,float32,cpu,1,2,1701,0.15,1,ok,complete,element,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,,,515047424,47.512208584498204,True,0.13836179114878178,0.029418474063277245,0.16837777569890022,1.0914845061539651e-07,0,0.003238913634383776,True,,,,,,,,,,16,16
11,8,1,512,reference,float32,cpu,1,2,1701,0.15,1,ok,complete,element,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,,,632758272,21.28867014642667,True,0.24267897754907608,0.12641103193163872,0.375786742195487,1.0914845061539651e-07,0,0.003238913634383776,True,,,,,,,,,,16,16
11,8,2,256,reference,float32,cpu,1,2,1701,0.15,1,ok,complete,element,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,,,660410368,18.653710165643254,True,0.3221139367669821,0.10609005205333233,0.4288691058754921,1.0914845061539651e-07,0,0.002850719037657878,True,,,,,,,,,,32,32
11,8,2,512,reference,float32,cpu,1,2,1701,0.15,1,ok,complete,element,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,,,1132355584,7.695280662003573,True,0.6668414436280727,0.3695938028395176,1.0395982097834349,1.0914845061539651e-07,0,0.002850719037657878,True,,,,,,,,,,32,32
11,8,4,256,reference,float32,cpu,1,2,1701,0.15,1,ok,complete,element,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,,,793808896,8.456006017918533,True,0.6950674895197153,0.25014055520296097,0.9460731204599142,1.1003913105933086e-07,0,0.0027520429675487175,True,,,,,,,,,,64,64
11,8,4,512,reference,float32,cpu,1,2,1701,0.15,1,ok,complete,element,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,,,1611071488,3.254535596640853,True,1.537981441244483,0.9169423971325159,2.458108004182577,1.1003913105933086e-07,0,0.0027520429675487175,True,,,,,,,,,,64,64
17,1,1,256,reference,float32,cpu,1,2,1701,0.15,1,ok,complete,element,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,,,490196992,21.288633319804994,True,0.04072401858866215,0.006080200895667076,0.04697342403233051,1.2138762545364974e-07,0,0.0013705716270386858,True,,,,,,,,,,2,2
17,1,1,512,reference,float32,cpu,1,2,1701,0.15,1,ok,complete,element,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,,,517287936,14.626364331772141,True,0.05099272355437279,0.016904618591070175,0.06836969032883644,1.2138762545364974e-07,0,0.0013705716270386858,True,,,,,,,,,,2,2
17,1,2,256,reference,float32,cpu,1,2,1701,0.15,1,ok,complete,element,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,,,514465792,10.025802424183254,True,0.08412910997867584,0.015536094084382057,0.09974263980984688,1.3591821450041062e-07,0,0.0011114272990131457,True,,,,,,,,,,4,4
17,1,2,512,reference,float32,cpu,1,2,1701,0.15,1,ok,complete,element,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,,,594141184,5.93254141567014,True,0.12445156648755074,0.04371241293847561,0.16856182366609573,1.3591821450041062e-07,0,0.0011114272990131457,True,,,,,,,,,,4,4
17,1,4,256,reference,float32,cpu,1,2,1701,0.15,1,ok,complete,element,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,,,539471872,4.802166686127423,True,0.17255894280970097,0.035593181848526,0.2082393355667591,1.3591821450041062e-07,0,0.0011114272990131457,True,,,,,,,,,,8,8
17,1,4,512,reference,float32,cpu,1,2,1701,0.15,1,ok,complete,element,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,,,679948288,2.7745550391207616,True,0.2555584628134966,0.104445556178689,0.360418152064085,1.3591821450041062e-07,0,0.0011114272990131457,True,,,,,,,,,,8,8
17,4,1,256,reference,float32,cpu,1,2,1701,0.15,1,ok,complete,element,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,,,504340480,22.455040306659868,True,0.15675698779523373,0.02106330171227455,0.17813372611999512,1.3170846987191415e-07,0,0.0009948198039388956,True,,,,,,,,,,8,8
17,4,1,512,reference,float32,cpu,1,2,1701,0.15,1,ok,complete,element,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,,,580128768,14.701115609926342,True,0.20221278816461563,0.06772112101316452,0.27208819426596165,1.3170846987191415e-07,0,0.0009948198039388956,True,,,,,,,,,,8,8
17,4,2,256,reference,float32,cpu,1,2,1701,0.15,1,ok,complete,element,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,,,580558848,10.09688137471871,True,0.3352020177990198,0.06057391129434109,0.39616192877292633,1.3170846987191415e-07,0,0.0009882479079976747,True,,,,,,,,,,16,16
17,4,2,512,reference,float32,cpu,1,2,1701,0.15,1,ok,complete,element,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,,,856313856,5.727895662279996,True,0.4981967806816101,0.19849188067018986,0.6983367428183556,1.3170846987191415e-07,0,0.0009882479079976747,True,,,,,,,,,,16,16
17,4,4,256,reference,float32,cpu,1,2,1701,0.15,1,ok,complete,element,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,,,645857280,4.849324575397754,True,0.6953623276203871,0.1290627084672451,0.8248571399599314,1.336679320100362e-07,0,0.0009882479079976747,True,,,,,,,,,,32,32
17,4,4,512,reference,float32,cpu,1,2,1701,0.15,1,ok,complete,element,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,,,1119064064,2.6232092316638247,True,1.0555956475436687,0.4675087686628103,1.524849772453308,1.336679320100362e-07,0,0.0009882479079976747,True,,,,,,,,,,32,32
17,8,1,256,reference,float32,cpu,1,2,1701,0.15,1,ok,complete,element,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,,,524640256,22.20699580190998,True,0.3169737458229065,0.04253748618066311,0.36024683713912964,1.3953592465574874e-07,0,0.0009948198039388956,True,,,,,,,,,,16,16
17,8,1,512,reference,float32,cpu,1,2,1701,0.15,1,ok,complete,element,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,,,616562688,14.278076998389334,True,0.42550884187221527,0.12820214964449406,0.5602995418012142,1.3953592465574874e-07,0,0.0009948198039388956,True,,,,,,,,,,16,16
17,8,2,256,reference,float32,cpu,1,2,1701,0.15,1,ok,complete,element,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,,,673292288,9.944452933117773,True,0.6822647508233786,0.12137251906096935,0.8044685870409012,1.3953592465574874e-07,0,0.0009882479079976747,True,,,,,,,,,,32,32
17,8,2,512,reference,float32,cpu,1,2,1701,0.15,1,ok,complete,element,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,,,1115037696,5.491948653737954,True,1.0366286095231771,0.41541891172528267,1.456677857786417,1.3953592465574874e-07,0,0.0009882479079976747,True,,,,,,,,,,32,32
17,8,4,256,reference,float32,cpu,1,2,1701,0.15,1,ok,complete,element,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,,,816148480,4.718675822737031,True,1.4131487756967545,0.2813510037958622,1.6953908894211054,1.3953592465574874e-07,0,0.0009882479079976747,True,,,,,,,,,,64,64
17,8,4,512,reference,float32,cpu,1,2,1701,0.15,1,ok,complete,element,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,,,1614196736,2.5287357852092356,True,2.208466136828065,0.9519308302551508,3.1636361721903086,1.3953592465574874e-07,0,0.0009882479079976747,True,,,,,,,,,,64,64
25,1,1,256,reference,float32,cpu,1,2,1701,0.15,1,ok,complete,element,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,,,493096960,10.576588102925767,True,0.08648786321282387,0.007983217015862465,0.09454844892024994,1.5802989516145733e-07,0,0.0006064947557793404,True,,,,,,,,,,2,2
