control,batch,layers,image_resolution,backend,dtype,device,warmup,repeats,seed,strength,threads,status,stage,host,commit,error,gpu_peak_allocated_bytes,gpu_peak_reserved_bytes,process_lifetime_hwm_bytes,throughput_samples_per_second,gradients_finite,mean_forward_seconds,mean_backward_seconds,mean_end_to_end_seconds,true_primal_relative_residual_max,flip_count_sum,minimum_signed_area,all_layer_sample_topology_certified,forward_methods,fallback_forward_layers,max_forward_iterations,max_forward_reported_relative_residual,adjoint_methods,fallback_adjoint_layers,max_adjoint_iterations,max_adjoint_reported_relative_residual,primary_failures,measured_primal_systems,measured_adjoint_systems
11,1,1,256,directed_iterative,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,10835456,25165824,1145180160,7.044455362257946,True,0.08908461779356003,0.0527905635535717,0.14195561595261097,9.688215520168926e-06,0,0.0036385109018937083,True,bicgstab,0,17,9.701871022116393e-06,bicgstab,0,13,8.835031621856615e-06,,2,2
11,1,1,512,directed_iterative,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,43235840,65011712,1119301632,6.316667671262239,True,0.09492216631770134,0.06331830285489559,0.15831132046878338,9.688215520168926e-06,0,0.0036385109018937083,True,bicgstab,0,17,9.701871022116393e-06,bicgstab,0,15,6.343350378301693e-06,,2,2
11,1,2,256,directed_iterative,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,18475520,31457280,1136267264,3.442569579790425,True,0.16533497162163258,0.12507736682891846,0.2904806938022375,9.688215520168926e-06,0,0.0028709897765866184,True,bicgstab,0,17,9.701871022116393e-06,bicgstab,0,17,6.629209110542433e-06,,4,4
11,1,2,512,directed_iterative,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,74770944,92274688,1165656064,3.405661898371725,True,0.16550572775304317,0.12805554829537868,0.29362867772579193,9.688215520168926e-06,0,0.0028709897765866184,True,bicgstab,0,17,9.701871022116393e-06,bicgstab,0,15,9.360413969261572e-06,,4,4
11,1,4,256,directed_iterative,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,27579904,33554432,1157988352,1.6811792077249375,True,0.329735966399312,0.26501681096851826,0.5948205851018429,9.688215520168926e-06,0,0.0028709897765866184,True,bicgstab,0,17,9.701871022116393e-06,bicgstab,0,19,9.84288544714218e-06,,8,8
11,1,4,512,directed_iterative,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,112055808,134217728,1207685120,1.5528972715033575,True,0.339286370202899,0.3045972716063261,0.6439575999975204,9.688215520168926e-06,0,0.0028709897765866184,True,bicgstab,0,17,9.701871022116393e-06,bicgstab,0,20,8.272322702396195e-06,,8,8
11,4,1,256,directed_iterative,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,20297728,23068672,1089716224,17.281427154335006,True,0.14409930631518364,0.08729282021522522,0.2314623650163412,8.84982446453268e-06,0,0.003252538481753218,True,bicgstab,0,17,8.871491445461288e-06,bicgstab,0,16,9.766765288077295e-06,,8,8
11,4,1,512,directed_iterative,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,81009664,102760448,1100619776,17.696247527255046,True,0.14743409678339958,0.07852362096309662,0.22603662125766277,8.84982446453268e-06,0,0.003252538481753218,True,bicgstab,0,17,8.871491445461288e-06,bicgstab,0,18,9.678436981630512e-06,,8,8
11,4,2,256,directed_iterative,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,66684416,92274688,1130594304,9.00348391152589,True,0.286989888176322,0.15720957145094872,0.4442724660038948,9.96802936491438e-06,0,0.002850909781979993,True,bicgstab,0,17,9.98223913484253e-06,bicgstab,0,20,9.456555744691286e-06,,16,16
11,4,2,512,directed_iterative,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,266438144,339738624,1158541312,8.896259642614293,True,0.28495840169489384,0.1645958572626114,0.4496271647512913,9.96802936491438e-06,0,0.002850909781979993,True,bicgstab,0,17,9.98223913484253e-06,bicgstab,0,26,9.659873285272624e-06,,16,16
