control,batch,layers,image_resolution,backend,dtype,device,warmup,repeats,seed,strength,threads,status,stage,host,commit,error,gpu_peak_allocated_bytes,gpu_peak_reserved_bytes,process_lifetime_hwm_bytes,throughput_samples_per_second,gradients_finite,mean_forward_seconds,mean_backward_seconds,mean_end_to_end_seconds,true_primal_relative_residual_max,flip_count_sum,minimum_signed_area,all_layer_sample_topology_certified,forward_methods,fallback_forward_layers,max_forward_iterations,max_forward_reported_relative_residual,adjoint_methods,fallback_adjoint_layers,max_adjoint_iterations,max_adjoint_reported_relative_residual,primary_failures,measured_primal_systems,measured_adjoint_systems,run_index,git_dirty,physical_gpu
11,1,1,256,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,10835968,25165824,1104273408,12.453811508901026,True,0.06221378408372402,0.01799999363720417,0.08029670268297195,4.436670863428511e-06,0,0.0035075854345016904,True,unspecified,0,22,4.438112682692008e-06,unspecified,0,21,5.814424184791278e-06,,2,2,1,False,6
11,1,1,512,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,43236352,65011712,1146347520,14.635290473098243,True,0.0408379677683115,0.02741617150604725,0.06832799129188061,4.4431748325549475e-06,0,0.0035075854345016904,True,unspecified,0,22,4.443055331648793e-06,unspecified,0,21,6.198754817887675e-06,,2,2,2,False,6
11,1,2,256,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,18476544,31457280,1135017984,7.008434296350123,True,0.08258231356739998,0.060045402497053146,0.14268522150814533,4.473772403464482e-06,0,0.0034448982668533463,True,unspecified,0,22,4.4581256588571705e-06,unspecified,0,21,6.218788712430978e-06,,4,4,3,False,6
11,1,2,512,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,74771968,92274688,1187102720,7.203744346636177,True,0.08218889869749546,0.056565895676612854,0.13881669752299786,4.480881204077542e-06,0,0.0034448985148953777,True,unspecified,0,22,4.4627154238696676e-06,unspecified,0,21,6.4263590502378065e-06,,4,4,4,False,6
11,1,4,256,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,27581952,33554432,1141149696,4.319102197208276,True,0.15864618867635727,0.07282228954136372,0.23152959905564785,9.38124107867881e-06,0,0.0033333902718872825,True,unspecified,0,22,9.400834642292466e-06,unspecified,0,21,7.191920758486958e-06,,8,8,5,False,6
11,1,4,512,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,112057856,134217728,1181847552,4.224227703008979,True,0.15832188725471497,0.0783502422273159,0.23672966286540031,9.346398121564605e-06,0,0.0033333902718872825,True,unspecified,0,22,9.378607501275837e-06,unspecified,0,21,7.284791990969097e-06,,8,8,6,False,6
11,4,1,256,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,20294144,23068672,1100279808,32.55393660661123,True,0.0923814456909895,0.030432453379034996,0.12287300452589989,4.902353658725681e-06,0,0.0034772348794298562,True,unspecified,0,22,4.917922069580527e-06,unspecified,0,21,6.555961590493098e-06,,8,8,7,False,6
11,4,1,512,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,81006080,102760448,1108852736,32.36689809489022,True,0.09683544933795929,0.026674877852201462,0.12358305044472218,4.894354770252439e-06,0,0.0034772348794298562,True,unspecified,0,22,4.919925231661182e-06,unspecified,0,21,6.642549578828039e-06,,8,8,8,False,6
11,4,2,256,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,66677248,92274688,1128804352,17.921199231860257,True,0.18684333562850952,0.0362958125770092,0.22319934889674187,4.8868282448569855e-06,0,0.0034151595155456067,True,unspecified,0,22,4.886048373009544e-06,unspecified,0,21,7.327766070375219e-06,,16,16,9,False,6
11,4,2,512,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,266430976,339738624,1155305472,14.9939782956619,True,0.2031922210007906,0.06350894644856453,0.26677376218140125,4.889424445422778e-06,0,0.0034151600116296694,True,unspecified,0,22,4.9019799917005e-06,unspecified,0,21,6.999733614065917e-06,,16,16,10,False,6
