source_receipt,research_question,task,N,control_vertex_count,face_count,resolution,image,optimizer,steps,lr,threshold,seed,target_strength,host,device,dtype,commit,backend,backend_class,status,failure_type,failure_message,reason,target_identity_check,target_summary_group_size,target_setup_seconds,target_setup_primal_solves,run_target_setup_seconds,run_target_setup_solves,initial_objective,final_objective,best_objective,primal_solves,adjoint_solves,global_solves,evaluations_to_threshold,global_solves_to_threshold,wall_seconds_to_threshold,wall_seconds,wrapper_wall_seconds,trace_available,trace_evaluations,forward_seconds_total,backward_seconds_total,optimizer_seconds_total,audit_seconds_total,timed_components_seconds_total,rss_before_bytes,rss_after_bytes,process_hwm_bytes,peak_gpu_allocated_bytes,peak_gpu_reserved_bytes,gpu_baseline_allocated_bytes,gpu_baseline_reserved_bytes,all_iterates_certified,trace_all_certified,trace_max_flip_count,trace_minimum_area_ratio,inverse_consistency,threshold_semantics,solver_settings,warp_convention,memory_semantics,final_flip_count,final_minimum_signed_area,final_minimum_area_ratio,final_boundary_order_min_gap,final_global_injectivity_certificate,final_map_rmse,final_maximum_map_error,final_mu_rmse,final_maximum_mu_error,target_flip_count,target_minimum_signed_area,target_minimum_area_ratio,target_boundary_order_min_gap,target_global_injectivity_certificate,target_map_rmse,target_maximum_map_error,target_mu_rmse,target_maximum_mu_error,target_control_shape,target_dense_shape,target_control_sum,target_dense_sum,target_control_l2,target_dense_l2
D:\QC_optimization\.worktrees\phase5-tutte-mvc-primal-dual\docs\research_phase5\raw_results\formal_image_checkerboard_adam_n25_256_cpu.json,I2 image registration,image_registration,25,625,1152,256,checkerboard,adam,40,0.03,0.001,20260922,0.25,turing,cpu,float32,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,direct,DirectTutteLayer,success,,,,matched,10,0.49467957485467196,1,0.0,0,0.25789549946784973,0.20783644914627075,0.20783644914627075,41,40,81,,,,7.0150235099717975,7.471602899953723,True,41,5.4538005942013115,0.41659425268881023,0.013666656566783786,1.1275905051734298,7.011652008630335,600231936,703180800,703180800,,,,,True,True,0,0.05902046180244738,,first independently audited evaluation; LBFGS trials included,"{""absolute_tolerance"":null,""internal_arithmetic"":""float64"",""max_iterations"":null,""relative_tolerance"":null,""variant"":""SuperLU factorization; two-coordinate RHS; reused transpose factor""}",fixed-to-moving backward coordinates; no inverse is computed,"RSS approximate asynchronous snapshots; HWM process lifetime, not cross-snapshot bound; GPU allocator peaks include per-run setup; shared target setup is excluded",0,5.9772536985747375e-05,0.06885796260758091,0.024906039237976074,True,0.2924194560536244,0.5707466050796233,0.670022629851407,1.1176646802172223,0,0.0004325994631779109,0.49835458158095314,0.024048915260125647,True,,,,,"[625, 2]","[256, 256, 2]",611.298547235479,63956.29216338156,20.29414436631711,205.46519723260528
D:\QC_optimization\.worktrees\phase5-tutte-mvc-primal-dual\docs\research_phase5\raw_results\formal_image_checkerboard_adam_n25_256_cpu.json,I2 image registration,image_registration,25,625,1152,256,checkerboard,adam,40,0.03,0.001,20260922,0.25,turing,cpu,float32,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,directed_iterative,,failure,KrylovConvergenceError,BiCGStab breakdown in shadow residual,,not_recorded,10,0.49467957485467196,1,,,,,,,,,,,,,1.1107234109658748,False,,,,,,,,,,,,,,,,,,,,"{""absolute_tolerance"":0.0,""internal_arithmetic"":""float32"",""max_iterations"":500,""relative_tolerance"":1e-05,""variant"":""unpreconditioned BiCGStab; explicit true residual each iteration""}",fixed-to-moving backward coordinates; no inverse is computed,"RSS approximate asynchronous snapshots; HWM process lifetime, not cross-snapshot bound; GPU allocator peaks include per-run setup; shared target setup is excluded",,,,,,,,,,0,0.0004325994631779109,0.49835458158095314,0.024048915260125647,True,,,,,"[625, 2]","[256, 256, 2]",611.298547235479,63956.29216338156,20.29414436631711,205.46519723260528
D:\QC_optimization\.worktrees\phase5-tutte-mvc-primal-dual\docs\research_phase5\raw_results\formal_image_checkerboard_adam_n25_256_cpu.json,I2 image registration,image_registration,25,625,1152,256,checkerboard,adam,40,0.03,0.001,20260922,0.25,turing,cpu,float32,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,symmetric,MatrixFreeSymmetricTutteLayer,success,,,,matched,10,0.49467957485467196,1,0.0,0,0.25750717520713806,0.011369406245648861,0.011369406245648861,41,40,81,,,,9.44263016502373,9.530059210024774,True,41,6.7377163069322705,1.639786030864343,0.012253339169546962,1.0497976548504084,9.439553331816569,705519616,700514304,705863680,,,,,True,True,0,0.5943835393936738,,first independently audited evaluation; LBFGS trials included,"{""absolute_tolerance"":0.0,""internal_arithmetic"":""float32"",""max_iterations"":1000,""relative_tolerance"":1e-05,""variant"":""unpreconditioned CG; candidate/periodic true-residual replacement""}",fixed-to-moving backward coordinates; no inverse is computed,"RSS approximate asynchronous snapshots; HWM process lifetime, not cross-snapshot bound; GPU allocator peaks include per-run setup; shared target setup is excluded",0,0.0005159579335014535,0.5943835393936738,0.03214389085769653,True,0.007113991970184138,0.024795314695583714,0.1328125728259949,0.5004226731829688,0,0.0004325994631779109,0.49835458158095314,0.024048915260125647,True,,,,,"[625, 2]","[256, 256, 2]",611.298547235479,63956.29216338156,20.29414436631711,205.46519723260528
D:\QC_optimization\.worktrees\phase5-tutte-mvc-primal-dual\docs\research_phase5\raw_results\formal_image_medical_adam_n17_256_cpu.json,I2 image registration,image_registration,17,289,512,256,medical_phantom,adam,40,0.03,0.001,20260922,0.25,turing,cpu,float32,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,direct,DirectTutteLayer,success,,,,matched,4,0.3397074812091887,1,0.0,0,0.0040832264348864555,0.00048273589345626533,0.00031504800426773727,41,40,81,27,53,2.351264659082517,3.489987841108814,3.9746119410265237,True,41,2.5707661327905953,0.4360803107265383,0.012797856237739325,0.46715759253129363,3.4868018922861665,599347200,699985920,699985920,,,,,True,True,0,0.5445643408152137,,first independently audited evaluation; LBFGS trials included,"{""absolute_tolerance"":null,""internal_arithmetic"":""float64"",""max_iterations"":null,""relative_tolerance"":null,""variant"":""SuperLU factorization; two-coordinate RHS; reused transpose factor""}",fixed-to-moving backward coordinates; no inverse is computed,"RSS approximate asynchronous snapshots; HWM process lifetime, not cross-snapshot bound; GPU allocator peaks include per-run setup; shared target setup is excluded",0,0.0013812770122578755,0.7072138302760322,0.053727418184280396,True,0.018497999086446854,0.05994493918470012,0.1466493242627748,0.4090921198115993,0,0.0011091489322158144,0.567884253294497,0.03941225951550742,True,,,,,"[289, 2]","[256, 256, 2]",290.73834597363134,65959.63533512043,14.164829740697744,210.35672382769695
D:\QC_optimization\.worktrees\phase5-tutte-mvc-primal-dual\docs\research_phase5\raw_results\formal_image_medical_adam_n17_256_cpu.json,I2 image registration,image_registration,17,289,512,256,medical_phantom,adam,40,0.03,0.001,20260922,0.25,turing,cpu,float32,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,directed_iterative,,failure,KrylovConvergenceError,BiCGStab breakdown in shadow residual,,not_recorded,4,0.3397074812091887,1,,,,,,,,,,,,,3.175558960996568,False,,,,,,,,,,,,,,,,,,,,"{""absolute_tolerance"":0.0,""internal_arithmetic"":""float32"",""max_iterations"":500,""relative_tolerance"":1e-05,""variant"":""unpreconditioned BiCGStab; explicit true residual each iteration""}",fixed-to-moving backward coordinates; no inverse is computed,"RSS approximate asynchronous snapshots; HWM process lifetime, not cross-snapshot bound; GPU allocator peaks include per-run setup; shared target setup is excluded",,,,,,,,,,0,0.0011091489322158144,0.567884253294497,0.03941225951550742,True,,,,,"[289, 2]","[256, 256, 2]",290.73834597363134,65959.63533512043,14.164829740697744,210.35672382769695
D:\QC_optimization\.worktrees\phase5-tutte-mvc-primal-dual\docs\research_phase5\raw_results\formal_image_medical_adam_n17_256_cpu.json,I2 image registration,image_registration,17,289,512,256,medical_phantom,adam,40,0.03,0.001,20260922,0.25,turing,cpu,float32,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,symmetric,MatrixFreeSymmetricTutteLayer,success,,,,matched,4,0.3397074812091887,1,0.0,0,0.004083102103322744,6.074233533581719e-05,5.645571945933625e-05,41,40,81,9,17,0.9457377200014889,4.467532820999622,4.5266637180466205,True,41,3.1235075478907675,0.8490173956379294,0.011978729395195842,0.4801589355338365,4.464662608457729,696414208,696672256,706637824,,,,,True,True,0,0.6041424954150898,,first independently audited evaluation; LBFGS trials included,"{""absolute_tolerance"":0.0,""internal_arithmetic"":""float32"",""max_iterations"":1000,""relative_tolerance"":1e-05,""variant"":""unpreconditioned CG; candidate/periodic true-residual replacement""}",fixed-to-moving backward coordinates; no inverse is computed,"RSS approximate asynchronous snapshots; HWM process lifetime, not cross-snapshot bound; GPU allocator peaks include per-run setup; shared target setup is excluded",0,0.0011799658113575973,0.6041424954150898,0.052823424339294434,True,0.018462576397611907,0.06821353556161924,0.14093179496115424,0.39652507512019775,0,0.0011091489322158144,0.567884253294497,0.03941225951550742,True,,,,,"[289, 2]","[256, 256, 2]",290.73834597363134,65959.63533512043,14.164829740697744,210.35672382769695
D:\QC_optimization\.worktrees\phase5-tutte-mvc-primal-dual\docs\research_phase5\raw_results\formal_image_medical_adam_n25_256_cpu.json,I2 image registration,image_registration,25,625,1152,256,medical_phantom,adam,40,0.03,0.001,20260922,0.25,turing,cpu,float32,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,direct,DirectTutteLayer,success,,,,matched,10,0.47812165901996195,1,0.0,0,0.01022787019610405,0.0005967662436887622,0.0005967662436887622,41,40,81,29,57,4.967590647051111,6.9185819760896266,7.372074372833595,True,41,5.344287900719792,0.4389475118368864,0.01331618195399642,1.1188309018034488,6.915382496314123,600031232,702865408,702865408,,,,,True,True,0,0.4620064609642327,,first independently audited evaluation; LBFGS trials included,"{""absolute_tolerance"":null,""internal_arithmetic"":""float64"",""max_iterations"":null,""relative_tolerance"":null,""variant"":""SuperLU factorization; two-coordinate RHS; reused transpose factor""}",fixed-to-moving backward coordinates; no inverse is computed,"RSS approximate asynchronous snapshots; HWM process lifetime, not cross-snapshot bound; GPU allocator peaks include per-run setup; shared target setup is excluded",0,0.00046991055921430337,0.541336964214878,0.03302931785583496,True,0.02927735101110702,0.08709758751438512,0.17066946003838113,0.5605770071171072,0,0.0004325994631779109,0.49835458158095314,0.024048915260125647,True,,,,,"[625, 2]","[256, 256, 2]",611.298547235479,63956.29216338156,20.29414436631711,205.46519723260528
D:\QC_optimization\.worktrees\phase5-tutte-mvc-primal-dual\docs\research_phase5\raw_results\formal_image_medical_adam_n25_256_cpu.json,I2 image registration,image_registration,25,625,1152,256,medical_phantom,adam,40,0.03,0.001,20260922,0.25,turing,cpu,float32,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,directed_iterative,MatrixFreeDirectedTutteLayer,success,,,,matched,10,0.47812165901996195,1,0.0,0,0.010191839188337326,0.0009724169503897429,0.0005755481543019414,41,40,81,30,59,8.811093521071598,12.16403621295467,12.24868237390183,True,41,7.914612839696929,3.177168110618368,0.012812681030482054,1.056361225200817,12.160954856546596,702869504,704897024,704897024,,,,,True,True,0,0.4661536872582639,,first independently audited evaluation; LBFGS trials included,"{""absolute_tolerance"":0.0,""internal_arithmetic"":""float32"",""max_iterations"":500,""relative_tolerance"":1e-05,""variant"":""unpreconditioned BiCGStab; explicit true residual each iteration""}",fixed-to-moving backward coordinates; no inverse is computed,"RSS approximate asynchronous snapshots; HWM process lifetime, not cross-snapshot bound; GPU allocator peaks include per-run setup; shared target setup is excluded",0,0.0004614214195572399,0.5315574753299401,0.030216485261917114,True,0.02796660689366183,0.0847184331433069,0.1672619060696644,0.48921363634115944,0,0.0004325994631779109,0.49835458158095314,0.024048915260125647,True,,,,,"[625, 2]","[256, 256, 2]",611.298547235479,63956.29216338156,20.29414436631711,205.46519723260528
D:\QC_optimization\.worktrees\phase5-tutte-mvc-primal-dual\docs\research_phase5\raw_results\formal_image_medical_adam_n25_256_cpu.json,I2 image registration,image_registration,25,625,1152,256,medical_phantom,adam,40,0.03,0.001,20260922,0.25,turing,cpu,float32,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,symmetric,MatrixFreeSymmetricTutteLayer,success,,,,matched,10,0.47812165901996195,1,0.0,0,0.010210658423602581,0.00013588211731985211,0.00013588211731985211,41,40,81,18,35,3.982895252062008,9.189634012058377,9.291614769026637,True,41,6.594517791410908,1.531510245287791,0.011512866010889411,1.049177413340658,9.186718316050246,704897024,706392064,706392064,,,,,True,True,0,0.6686597509378785,,first independently audited evaluation; LBFGS trials included,"{""absolute_tolerance"":0.0,""internal_arithmetic"":""float32"",""max_iterations"":1000,""relative_tolerance"":1e-05,""variant"":""unpreconditioned CG; candidate/periodic true-residual replacement""}",fixed-to-moving backward coordinates; no inverse is computed,"RSS approximate asynchronous snapshots; HWM process lifetime, not cross-snapshot bound; GPU allocator peaks include per-run setup; shared target setup is excluded",0,0.0005832895165909233,0.6719495231127439,0.03672328591346741,True,0.027452767579074725,0.09810581517379396,0.16911215615634273,0.4852619798319284,0,0.0004325994631779109,0.49835458158095314,0.024048915260125647,True,,,,,"[625, 2]","[256, 256, 2]",611.298547235479,63956.29216338156,20.29414436631711,205.46519723260528
D:\QC_optimization\.worktrees\phase5-tutte-mvc-primal-dual\docs\research_phase5\raw_results\formal_image_medical_adam_n25_512_cpu.json,I2 image registration,image_registration,25,625,1152,512,medical_phantom,adam,40,0.03,0.001,20260922,0.25,turing,cpu,float32,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,direct,DirectTutteLayer,success,,,,matched,2,0.5807180430274457,1,0.0,0,0.010353843681514263,0.0007487097172997892,0.000727429986000061,41,40,81,26,51,5.743109720991924,8.925025526899844,9.483423484954983,True,41,6.577706743730232,1.1901905140839517,0.017953726928681135,1.1353259079623967,8.921176892705262,606060544,716980224,740913152,,,,,True,True,0,0.5410300580216187,,first independently audited evaluation; LBFGS trials included,"{""absolute_tolerance"":null,""internal_arithmetic"":""float64"",""max_iterations"":null,""relative_tolerance"":null,""variant"":""SuperLU factorization; two-coordinate RHS; reused transpose factor""}",fixed-to-moving backward coordinates; no inverse is computed,"RSS approximate asynchronous snapshots; HWM process lifetime, not cross-snapshot bound; GPU allocator peaks include per-run setup; shared target setup is excluded",0,0.0005240721196778655,0.6037310818689008,0.033155858516693115,True,0.027190285740834357,0.08287998747985476,0.16622345669917302,0.5036162804442457,0,0.0004325994631779109,0.49835458158095314,0.024048915260125647,True,,,,,"[625, 2]","[512, 512, 2]",611.298547235479,255793.24585458037,20.29414436631711,410.68266397442335
