"kind","phase","reported_source_commit","source_state","batch","run","warmup","repeats","status","stage","harness_wall_seconds","mean_end_to_end_seconds","cg_invocation_count","iteration_observation_count","iteration_observation_sum","mean_iteration_observation","iteration_observation_semantics","max_iterations","max_forward_relative_residual","max_adjoint_relative_residual","max_instrumented_solve_first_final_relative_residual","max_repeat_relative_residual","max_operator_repeat_abs_difference","bitwise_variable_solve_count","max_deactivation_over_requested_threshold","error"
"run","unmodified_exact","02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0","historical unmodified source; receipt did not record dirty state","4","1","1","2","ok","complete","28.079824302345514","8.258754685521126","8","8","1218","152.25","one observation per CG invocation; the scalar is the maximum loop count reached across that invocation's batch/RHS columns","162","9.97896404442145E-06","9.89631189440843E-06",,,,,,
"run","unmodified_exact","02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0","historical unmodified source; receipt did not record dirty state","4","2","1","2","ok","complete","28.144712537527084","8.26195377483964","8","8","1217","152.125","one observation per CG invocation; the scalar is the maximum loop count reached across that invocation's batch/RHS columns","161","9.99514122668188E-06","9.9905855677207E-06",,,,,,
"run","unmodified_exact","02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0","historical unmodified source; receipt did not record dirty state","4","3","1","2","ok","complete","28.251027405261993","8.372114446014166","8","8","1217","152.125","one observation per CG invocation; the scalar is the maximum loop count reached across that invocation's batch/RHS columns","161","9.99797703116201E-06","9.95158916339278E-06",,,,,,
"run","unmodified_exact","02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0","historical unmodified source; receipt did not record dirty state","4","4","1","2","ok","complete","28.409009743481874","8.472068563103676","8","8","1217","152.125","one observation per CG invocation; the scalar is the maximum loop count reached across that invocation's batch/RHS columns","162","9.993969797506E-06","9.97595816443209E-06",,,,,,
"run","unmodified_exact","02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0","historical unmodified source; receipt did not record dirty state","4","5","1","2","ok","complete","27.386134818196297","8.07113791629672","8","8","1218","152.25","one observation per CG invocation; the scalar is the maximum loop count reached across that invocation's batch/RHS columns","162","9.98828181764111E-06","9.97416464088019E-06",,,,,,
"run","unmodified_exact","02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0","historical unmodified source; receipt did not record dirty state","8","1","1","2","ok","complete","49.623117327690125","14.976088354364038","8","8","1222","152.75","one observation per CG invocation; the scalar is the maximum loop count reached across that invocation's batch/RHS columns","162","9.99624626274453E-06","9.92648438113974E-06",,,,,,
"run","unmodified_exact","02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0","historical unmodified source; receipt did not record dirty state","8","2","1","2","ok","complete","50.939623828977346","15.36655481159687","8","8","1222","152.75","one observation per CG invocation; the scalar is the maximum loop count reached across that invocation's batch/RHS columns","162","9.99958774627885E-06","9.96129983832361E-06",,,,,,
"run","unmodified_exact","02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0","historical unmodified source; receipt did not record dirty state","8","3","1","2","ok","complete","52.51576894149184","15.9069843031466","8","8","1222","152.75","one observation per CG invocation; the scalar is the maximum loop count reached across that invocation's batch/RHS columns","162","9.99683834379539E-06","9.98795894702198E-06",,,,,,
"run","unmodified_exact","02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0","historical unmodified source; receipt did not record dirty state","8","4","1","2","failure","measurement","20.569689221680164",,,"0",,,"one observation per CG invocation; the scalar is the maximum loop count reached across that invocation's batch/RHS columns",,,,,,,,,"matrix-free symmetric CG did not converge: iterations=144, max_relative_residual=1.000e-05"
"run","unmodified_exact","02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0","historical unmodified source; receipt did not record dirty state","8","5","1","2","ok","complete","51.84325338900089","15.688090583309531","8","8","1221","152.625","one observation per CG invocation; the scalar is the maximum loop count reached across that invocation's batch/RHS columns","162","9.98968880594475E-06","9.99616167973727E-06",,,,,,
"run","instrumented_unmodified","02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0","historical diagnostic instrumentation of unmodified threshold logic; receipt did not record dirty diff","4","1","0","1","ok","complete","11.751169700175524","8.84633781388402","8","8","1218","152.25","one observation per CG invocation; the scalar is the maximum loop count reached across that invocation's batch/RHS columns","161",,,"9.99873191176448E-06","9.99913754640147E-06","1.66893005371094E-06","8","0.999869644641876",
"run","instrumented_unmodified","02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0","historical diagnostic instrumentation of unmodified threshold logic; receipt did not record dirty diff","4","2","0","1","failure","measurement","9.490927368402481",,"5","5","735","147","one observation per CG invocation; the scalar is the maximum loop count reached across that invocation's batch/RHS columns","161",,,"1.00006645880057E-05","1.00037823358434E-05","1.43051147460938E-06","5","0.999543607234955","diagnostic symmetric CG did not converge: iterations=161, max_relative_residual=1.000066459e-05"
"run","instrumented_unmodified","02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0","historical diagnostic instrumentation of unmodified threshold logic; receipt did not record dirty diff","4","3","0","1","ok","complete","11.723245933651924","8.800600335001945","8","8","1218","152.25","one observation per CG invocation; the scalar is the maximum loop count reached across that invocation's batch/RHS columns","162",,,"9.98934865492629E-06","9.98985888145398E-06","1.9073486328125E-06","8","0.998931407928467",
"run","instrumented_unmodified","02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0","historical diagnostic instrumentation of unmodified threshold logic; receipt did not record dirty diff","4","4","0","1","ok","complete","11.86279109865427","8.819783553481102","8","8","1218","152.25","one observation per CG invocation; the scalar is the maximum loop count reached across that invocation's batch/RHS columns","162",,,"9.99561871140031E-06","9.99562962533673E-06","1.43051147460938E-06","8","0.999559640884399",
"run","instrumented_unmodified","02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0","historical diagnostic instrumentation of unmodified threshold logic; receipt did not record dirty diff","4","5","0","1","ok","complete","11.354414001107216","8.458876945078373","8","8","1218","152.25","one observation per CG invocation; the scalar is the maximum loop count reached across that invocation's batch/RHS columns","162",,,"9.98885116132442E-06","9.98893392534228E-06","1.9073486328125E-06","8","0.998888969421387",
"run","instrumented_unmodified","02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0","historical diagnostic instrumentation of unmodified threshold logic; receipt did not record dirty diff","8","1","0","1","ok","complete","20.35205589979887","15.842618774622679","8","8","1222","152.75","one observation per CG invocation; the scalar is the maximum loop count reached across that invocation's batch/RHS columns","162",,,"9.99076564767165E-06","9.99467374640517E-06","2.14576721191406E-06","8","0.999074399471283",
"run","instrumented_unmodified","02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0","historical diagnostic instrumentation of unmodified threshold logic; receipt did not record dirty diff","8","10","0","1","ok","complete","24.05561399832368","18.830765809863806","8","8","1222","152.75","one observation per CG invocation; the scalar is the maximum loop count reached across that invocation's batch/RHS columns","162",,,"9.98714494926389E-06","9.98754421743797E-06","1.9073486328125E-06","8","0.998729765415192",
"run","instrumented_unmodified","02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0","historical diagnostic instrumentation of unmodified threshold logic; receipt did not record dirty diff","8","2","0","1","ok","complete","20.408337377011776","15.840829525142908","8","8","1222","152.75","one observation per CG invocation; the scalar is the maximum loop count reached across that invocation's batch/RHS columns","162",,,"9.99852090899367E-06","9.99857911665458E-06","1.9073486328125E-06","8","0.999846935272217",
"run","instrumented_unmodified","02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0","historical diagnostic instrumentation of unmodified threshold logic; receipt did not record dirty diff","8","3","0","1","ok","complete","21.347462739795446","16.855061639100313","8","8","1221","152.625","one observation per CG invocation; the scalar is the maximum loop count reached across that invocation's batch/RHS columns","162",,,"9.99949133984046E-06","1.00002162071178E-05","2.14576721191406E-06","8","0.999974071979523",
"run","instrumented_unmodified","02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0","historical diagnostic instrumentation of unmodified threshold logic; receipt did not record dirty diff","8","4","0","1","failure","measurement","16.814006492495537",,"6","6","899","149.833333333333","one observation per CG invocation; the scalar is the maximum loop count reached across that invocation's batch/RHS columns","162",,,"1.00001579994569E-05","1.00094002846163E-05","1.9073486328125E-06","6","0.999428987503052","diagnostic symmetric CG did not converge: iterations=161, max_relative_residual=1.000015800e-05"
"run","instrumented_unmodified","02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0","historical diagnostic instrumentation of unmodified threshold logic; receipt did not record dirty diff","8","5","0","1","ok","complete","21.156816709786654","16.337731633335352","8","8","1222","152.75","one observation per CG invocation; the scalar is the maximum loop count reached across that invocation's batch/RHS columns","162",,,"9.99475105345482E-06","9.9948410934303E-06","1.9073486328125E-06","8","0.999455451965332",
"run","instrumented_unmodified","02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0","historical diagnostic instrumentation of unmodified threshold logic; receipt did not record dirty diff","8","6","0","1","ok","complete","23.786014039069414","18.456179682165384","8","8","1221","152.625","one observation per CG invocation; the scalar is the maximum loop count reached across that invocation's batch/RHS columns","162",,,"9.99802705337061E-06","1.00071556516923E-05","1.9073486328125E-06","8","0.999983370304108",
"run","instrumented_unmodified","02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0","historical diagnostic instrumentation of unmodified threshold logic; receipt did not record dirty diff","8","7","0","1","failure","measurement","17.057234302163124",,"8","8","1221","152.625","one observation per CG invocation; the scalar is the maximum loop count reached across that invocation's batch/RHS columns","162",,,"1.00017450677115E-05","1.00065644801361E-05","1.9073486328125E-06","8","0.999438941478729","diagnostic symmetric CG did not converge: iterations=161, max_relative_residual=1.000174507e-05"
"run","instrumented_unmodified","02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0","historical diagnostic instrumentation of unmodified threshold logic; receipt did not record dirty diff","8","8","0","1","ok","complete","20.334443498402834","15.908856324851513","8","8","1221","152.625","one observation per CG invocation; the scalar is the maximum loop count reached across that invocation's batch/RHS columns","162",,,"9.99646908894647E-06","9.99667008727556E-06","1.9073486328125E-06","8","0.999611139297485",
"run","instrumented_unmodified","02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0","historical diagnostic instrumentation of unmodified threshold logic; receipt did not record dirty diff","8","9","0","1","failure","measurement","17.13216721639037",,"7","7","1060","151.428571428571","one observation per CG invocation; the scalar is the maximum loop count reached across that invocation's batch/RHS columns","162",,,"1.00002780527575E-05","1.00059978649369E-05","1.78813934326172E-06","7","0.999997079372406","diagnostic symmetric CG did not converge: iterations=161, max_relative_residual=1.000027805e-05"
"run","instrumented_margin_0p99","02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0","historical diagnostic instrumentation with predeclared 0.99 factor; receipt did not record dirty diff","4","1","0","1","ok","complete","11.814028196036816","8.80998819693923","8","8","1218","152.25","one observation per CG invocation; the scalar is the maximum loop count reached across that invocation's batch/RHS columns","161",,,"9.89180625765584E-06","9.89187356026378E-06","1.43051147460938E-06","8","0.989184200763702",
"run","instrumented_margin_0p99","02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0","historical diagnostic instrumentation with predeclared 0.99 factor; receipt did not record dirty diff","4","2","0","1","ok","complete","11.709737863391638","8.790946315973997","8","8","1219","152.375","one observation per CG invocation; the scalar is the maximum loop count reached across that invocation's batch/RHS columns","162",,,"9.89987893262878E-06","9.89998807199299E-06","1.43051147460938E-06","8","0.989985167980194",
"run","instrumented_margin_0p99","02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0","historical diagnostic instrumentation with predeclared 0.99 factor; receipt did not record dirty diff","4","3","0","1","ok","complete","11.8323874771595","8.873962447047234","8","8","1219","152.375","one observation per CG invocation; the scalar is the maximum loop count reached across that invocation's batch/RHS columns","162",,,"9.89626641967334E-06","9.89676664175931E-06","1.9073486328125E-06","8","0.98962789773941",
"run","instrumented_margin_0p99","02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0","historical diagnostic instrumentation with predeclared 0.99 factor; receipt did not record dirty diff","4","4","0","1","ok","complete","11.921311475336552","8.891917772591114","8","8","1220","152.5","one observation per CG invocation; the scalar is the maximum loop count reached across that invocation's batch/RHS columns","162",,,"9.87540352070937E-06","9.87545809039148E-06","1.60932540893555E-06","8","0.98753809928894",
"run","instrumented_margin_0p99","02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0","historical diagnostic instrumentation with predeclared 0.99 factor; receipt did not record dirty diff","4","5","0","1","ok","complete","11.667105630040169","8.644341211766005","8","8","1219","152.375","one observation per CG invocation; the scalar is the maximum loop count reached across that invocation's batch/RHS columns","162",,,"9.89197360468097E-06","9.89517502603121E-06","1.9073486328125E-06","8","0.98921400308609",
"run","instrumented_margin_0p99","02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0","historical diagnostic instrumentation with predeclared 0.99 factor; receipt did not record dirty diff","8","1","0","1","ok","complete","20.677454065531492","16.149431757628918","8","8","1222","152.75","one observation per CG invocation; the scalar is the maximum loop count reached across that invocation's batch/RHS columns","162",,,"9.89852833299665E-06","9.89874297374627E-06","1.9073486328125E-06","8","0.989862143993378",
"run","instrumented_margin_0p99","02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0","historical diagnostic instrumentation with predeclared 0.99 factor; receipt did not record dirty diff","8","10","0","1","ok","complete","24.09000926464796","18.760178185999393","8","8","1222","152.75","one observation per CG invocation; the scalar is the maximum loop count reached across that invocation's batch/RHS columns","162",,,"9.8866521511809E-06","9.88732426776551E-06","1.9073486328125E-06","8","0.988729178905487",
"run","instrumented_margin_0p99","02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0","historical diagnostic instrumentation with predeclared 0.99 factor; receipt did not record dirty diff","8","2","0","1","ok","complete","20.531803350895643","15.9433124512434","8","8","1223","152.875","one observation per CG invocation; the scalar is the maximum loop count reached across that invocation's batch/RHS columns","162",,,"9.89149611996254E-06","9.89766158454586E-06","1.66893005371094E-06","8","0.989883244037628",
"run","instrumented_margin_0p99","02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0","historical diagnostic instrumentation with predeclared 0.99 factor; receipt did not record dirty diff","8","3","0","1","ok","complete","20.72342648729682","16.281222727149725","8","8","1224","153","one observation per CG invocation; the scalar is the maximum loop count reached across that invocation's batch/RHS columns","162",,,"9.90459648164688E-06","9.90828175417846E-06","2.14576721191406E-06","8","0.989926397800446",
"run","instrumented_margin_0p99","02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0","historical diagnostic instrumentation with predeclared 0.99 factor; receipt did not record dirty diff","8","4","0","1","ok","complete","20.32770476490259","15.865497499704361","8","8","1222","152.75","one observation per CG invocation; the scalar is the maximum loop count reached across that invocation's batch/RHS columns","162",,,"9.8920927484869E-06","9.89688123809174E-06","1.84774398803711E-06","8","0.98895937204361",
"run","instrumented_margin_0p99","02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0","historical diagnostic instrumentation with predeclared 0.99 factor; receipt did not record dirty diff","8","5","0","1","ok","complete","20.410029347985983","15.904603082686663","8","8","1223","152.875","one observation per CG invocation; the scalar is the maximum loop count reached across that invocation's batch/RHS columns","162",,,"9.89124873740366E-06","9.89965792541625E-06","1.9073486328125E-06","8","0.989256143569946",
"run","instrumented_margin_0p99","02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0","historical diagnostic instrumentation with predeclared 0.99 factor; receipt did not record dirty diff","8","6","0","1","ok","complete","21.1731436252594","16.637114319950342","8","8","1223","152.875","one observation per CG invocation; the scalar is the maximum loop count reached across that invocation's batch/RHS columns","162",,,"9.89602176559856E-06","9.89642376225675E-06","2.14576721191406E-06","8","0.989604592323303",
"run","instrumented_margin_0p99","02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0","historical diagnostic instrumentation with predeclared 0.99 factor; receipt did not record dirty diff","8","7","0","1","ok","complete","23.230099506676197","18.069398909807205","8","8","1222","152.75","one observation per CG invocation; the scalar is the maximum loop count reached across that invocation's batch/RHS columns","162",,,"9.87099338090047E-06","9.87624389381381E-06","1.9073486328125E-06","8","0.98664379119873",
