control,batch,layers,image_resolution,backend,dtype,device,warmup,repeats,seed,strength,threads,status,stage,host,commit,error,gpu_peak_allocated_bytes,gpu_peak_reserved_bytes,process_lifetime_hwm_bytes,throughput_samples_per_second,gradients_finite,mean_forward_seconds,mean_backward_seconds,mean_end_to_end_seconds,true_primal_relative_residual_max,flip_count_sum,minimum_signed_area,all_layer_sample_topology_certified,forward_methods,fallback_forward_layers,max_forward_iterations,max_forward_reported_relative_residual,adjoint_methods,fallback_adjoint_layers,max_adjoint_iterations,max_adjoint_reported_relative_residual,primary_failures,measured_primal_systems,measured_adjoint_systems,run_index,git_dirty,physical_gpu
49,4,4,256,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,108555776,117440512,1146830848,0.47346009147702683,True,7.94265329092741,0.5057172309607267,8.448441741988063,9.871343921503661e-06,0,0.0001240811514078284,True,unspecified,0,144,9.864806997939013e-06,unspecified,0,162,9.866238542599604e-06,,32,32,1,False,6
49,4,4,256,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,108555776,117440512,1149038592,0.48893115660153336,True,7.673969419673085,0.5070702042430639,8.181110870093107,9.880876639059228e-06,0,0.0001240811747189592,True,unspecified,0,144,9.880310244625434e-06,unspecified,0,162,9.837060133577324e-06,,32,32,2,False,6
49,4,4,256,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,108555776,117440512,1146433536,0.48781781811364605,True,7.686492931097746,0.5132159404456615,8.199782483279705,9.895255241005158e-06,0,0.00012408109313000138,True,unspecified,0,144,9.887831765809096e-06,unspecified,0,161,9.875599971564952e-06,,32,32,3,False,6
49,4,4,256,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,108555776,117440512,1148293120,0.4905675981076311,True,7.6215467043221,0.5321991704404354,8.153820218518376,9.87563017260126e-06,0,0.000124081139752263,True,unspecified,0,144,9.87662951956736e-06,unspecified,0,162,9.85504357231548e-06,,32,32,4,False,6
49,4,4,256,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,108555776,117440512,1149321216,0.49114303314574836,True,7.613293960690498,0.5309020895510912,8.144267005845904,9.892095412438544e-06,0,0.0001240811164411322,True,unspecified,0,144,9.894117283693049e-06,unspecified,0,162,9.811545169213787e-06,,32,32,5,False,6
49,8,4,256,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,208827904,255852544,1147068416,0.5205067612235635,True,14.856544572860003,0.5130181461572647,15.369637046009302,9.90195983773231e-06,0,0.00011218366129384116,True,unspecified,0,144,9.899975339067169e-06,unspecified,0,162,9.902149940899108e-06,,64,64,6,False,6
49,8,4,256,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,208827904,255852544,1147334656,0.5098649097530665,True,15.145770907402039,0.5445857532322407,15.690430635586381,9.902708160525564e-06,0,0.00011218366129384116,True,unspecified,0,144,9.898152711684816e-06,unspecified,0,162,9.898951248032972e-06,,64,64,7,False,6
49,8,4,256,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,208827904,255852544,1146576896,0.5151540432510234,True,15.00556529685855,0.5236959159374237,15.529335554689169,9.890176931815748e-06,0,0.00011218366129384116,True,unspecified,0,144,9.8988111858489e-06,unspecified,0,162,9.879970093606971e-06,,64,64,8,False,6
49,8,4,256,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,208827904,257949696,1151729664,0.5114081550869635,True,15.126814901828766,0.5161975305527449,15.64308257587254,9.895519688665649e-06,0,0.00011218366129384116,True,unspecified,0,144,9.892773050523829e-06,unspecified,0,162,9.894262802845333e-06,,64,64,9,False,6
49,8,4,256,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,208827904,255852544,1150169088,0.5067795317997339,True,15.282749928534031,0.5031309239566326,15.78595720231533,9.90129156063128e-06,0,0.00011218366129384116,True,unspecified,0,144,9.898625648929738e-06,unspecified,0,162,9.880589459498879e-06,,64,64,10,False,6
